StockCode,total_price
22487,7919.23
22352,7873.72
22968,7861.93
21136,7830.32
23238,7825.56
22557,7777.09
22173,7773.7
23007,7758.7
21908,7756.42
23204,7741.94
48111,7732.93
21258,7674.8
84970S,7672.41
84406B,7657.32
84949,7642.44
21231,7628.53
22991,7608.79
21955,7597.02
22750,7563.08
22585,7561.64
22627,7547.39
21668,7527.66
22367,7520.28
22381,7437.94
84836,7426.82
22741,7363.86
23382,7356.18
21169,7320.36
23083,7254.65
20969,7236.93
22179,7232.95
22631,7207.37
22634,7191.15
22485,7190.35
22553,7176.67
22767,7173.55
21787,7163.65
22834,7136.23
21669,7136.0
22950,7133.0
22637,7121.38
21259,7106.95
23236,7106.21
22505,7104.22
23320,7072.16
21912,7062.7
22663,7053.28
C2,7051.0
22333,7047.24
22946,7047.17
23215,7044.64
23543,7019.01
22839,7011.57
23283,7003.38
23293,7001.99
22170,6977.6
21922,6952.31
21877,6942.33
21165,6939.08
21094,6933.26
23254,6932.16
22109,6928.65
22840,6927.64
21257,6909.37
22294,6901.33
21326,6890.47
23109,6878.37
22580,6860.09
23103,6859.36
75049L,6827.98
23541,6823.91
21672,6815.9
23297,6792.23
22620,6789.46
22943,6785.17
23008,6753.51
23229,6739.71
23480,6726.64
23247,6715.93
22668,6710.42
21533,6701.22
85014A,6684.67
21871,6681.21
84988,6672.7
23169,6671.14
21888,6667.04
20718,6613.04
84992,6555.33
22508,6544.63
21122,6496.04
23311,6488.2
22141,6474.29
23553,6457.15
84030E,6452.94
23188,6451.07
20676,6441.06
23571,6436.61
23134,6431.11
22635,6422.28
84970L,6412.77
22784,6405.54
22979,6401.97
23307,6379.59
23172,6360.91
22303,6353.55
22895,6349.95
22151,6332.29
21154,6321.76
21380,6316.36
21935,6298.61
22826,6210.0
23192,6142.29
21670,6141.29
21975,6117.91
23118,6102.18
21156,6093.05
21671,6078.54
21673,6071.75
47591D,6060.25
47556B,6045.0
17003,6036.39
22366,6034.9
23526,6021.4
22174,6013.43
21535,6011.51
48129,6009.84
23296,5988.05
23312,5968.3
22783,5961.25
22584,5954.61
23052,5949.34
22150,5925.39
23154,5907.36
23113,5868.5
22971,5849.29
23485,5843.92
22207,5837.84
22751,5812.72
22796,5807.35
22779,5802.6
22740,5793.62
22365,5762.28
82001S,5750.21
22595,5731.26
23205,5728.08
62018,5716.85
21242,5704.78
22646,5695.77
22907,5681.9
22837,5662.58
22088,5661.05
22466,5607.74
22418,5585.45
22488,5575.33
21558,5568.07
22798,5564.25
23531,5559.11
23126,5556.79
22429,5549.68
23177,5528.04
23133,5525.4
22464,5519.42
23158,5517.99
23583,5513.83
22964,5481.09
22904,5479.06
22297,5468.66
23135,5416.18
22827,5415.0
22845,5403.28
22349,5389.02
23494,5377.81
21172,5345.88
22998,5314.9
22120,5276.94
22296,5274.12
22623,5248.21
22848,5225.4
23132,5219.1
22772,5211.7
22781,5198.66
22665,5195.03
23263,5184.69
22689,5176.25
22898,5174.32
21844,5170.64
23157,5170.1
21428,5167.88
21164,5161.88
23165,5147.66
23162,5143.69
22302,5136.84
37449,5127.24
23397,5097.65
21098,5093.76
22371,5093.57
21756,5089.56
23234,5088.45
23295,5078.43
23198,5068.4
22849,5061.63
22780,5044.34
23314,5037.96
22301,5031.83
21907,5031.38
22957,5023.5
22271,5022.1
22636,5009.56
21932,5001.98
23310,4997.28
23556,4974.51
21933,4964.03
22142,4950.54
23570,4944.37
84212,4934.87
22110,4914.69
21937,4901.8
22748,4897.63
23010,4896.55
23351,4880.65
21124,4868.05
23503,4864.3
21086,4861.9
21033,4853.81
21390,4851.88
21876,4834.51
23554,4830.53
23555,4818.07
22549,4799.83
23389,4780.54
23159,4771.76
23184,4764.5
84050,4761.78
21539,4758.75
22243,4753.29
23569,4752.31
20677,4749.84
23286,4747.62
23558,4741.37
20979,4729.98
22645,4721.73
22082,4716.33
23241,4709.07
23176,4697.58
82552,4680.63
22721,4678.71
22745,4678.59
22504,4674.62
22606,4670.36
47599A,4649.5
22295,4643.67
22813,4640.78
22628,4625.86
22775,4621.87
21833,4594.43
23285,4572.41
22417,4566.54
23404,4561.76
23168,4559.92
23275,4557.97
82551,4542.89
20974,4531.98
23309,4527.2
23163,4515.22
23112,4514.58
22938,4488.63
21934,4480.28
23167,4476.01
84987,4474.07
21906,4470.81
22942,4469.04
23530,4465.97
22089,4460.38
23288,4444.23
22626,4427.36
20975,4387.82
15056P,4366.82
23349,4355.1
22327,4336.7
16014,4335.76
84692,4329.48
22899,4328.53
21498,4322.42
21892,4322.16
23050,4286.55
22723,4282.57
23237,4278.54
22694,4260.12
20970,4235.88
22661,4231.95
22061,4228.01
23089,4217.73
22801,4215.14
23012,4208.96
23144,4197.83
22550,4194.89
20682,4190.83
23110,4158.68
72760B,4155.34
21874,4149.93
22649,4147.73
23486,4145.47
22596,4142.92
23306,4123.38
22841,4109.72
23255,4101.37
23193,4097.28
23194,4086.37
23009,4082.52
22577,4075.94
22489,4072.97
22896,4063.76
23340,4053.88
21116,4051.79
23081,4046.5
21704,4039.28
22219,4037.98
72351B,4012.05
22951,4010.55
22431,4002.61
22890,3999.57
23129,3999.5
22956,3992.58
22493,3989.94
23130,3988.98
20675,3984.37
84792,3978.97
22274,3974.13
22131,3952.19
23557,3930.27
22148,3929.15
22980,3914.96
21716,3913.72
21041,3909.63
23049,3896.84
22117,3896.45
23552,3883.99
22222,3880.2
22578,3877.68
21749,3877.09
23032,3876.78
22738,3856.07
23253,3848.86
85049A,3847.36
37370,3844.81
23131,3840.13
23111,3839.24
21243,3827.16
22842,3823.21
22809,3822.5
21110,3822.45
22350,3822.12
23542,3800.16
85049E,3791.11
21244,3789.32
23299,3784.13
23092,3773.58
21746,3766.93
23127,3763.95
21527,3756.79
22195,3725.61
23091,3725.07
21260,3722.23
21658,3721.63
23182,3718.09
23064,3717.56
22212,3713.54
22854,3708.52
21531,3692.37
21890,3689.46
22656,3685.0
23013,3678.11
22926,3674.7
85053,3666.29
23497,3660.37
23191,3656.94
22378,3649.07
23085,3635.23
22468,3633.17
23294,3631.05
22236,3624.6
23210,3617.78
22812,3610.25
22053,3606.42
84968C,3585.99
22739,3585.02
22348,3584.99
21494,3578.83
22908,3573.83
23332,3570.76
22800,3564.49
20717,3564.48
85132C,3562.32
22180,3561.34
22669,3559.0
21974,3545.6
21992,3529.12
21703,3528.89
22688,3519.66
23353,3517.52
23189,3507.51
21715,3507.17
22760,3491.86
21238,3488.44
21745,3486.98
23232,3478.92
82580,3474.31
22065,3470.83
22435,3456.75
23350,3456.33
47567B,3456.15
23426,3450.21
21588,3450.15
23388,3448.69
84508A,3448.05
21385,3447.55
21463,3446.95
22300,3444.91
23536,3442.13
23065,3439.94
23156,3437.85
23354,3431.89
21497,3430.0
23014,3427.48
22311,3418.51
84509A,3417.28
22782,3399.95
23239,3399.49
21429,3398.95
22029,3397.65
84032A,3390.88
22653,3380.45
79000,3377.74
21993,3363.34
22563,3358.18
22687,3354.22
22432,3350.62
22079,3348.39
22165,3328.2
23395,3305.83
22855,3304.23
22962,3294.91
22460,3289.75
22567,3282.3
22244,3280.11
23308,3279.21
22967,3277.31
22430,3266.09
23053,3262.57
21868,3262.25
22187,3245.68
22746,3244.94
23393,3230.41
23230,3228.42
23035,3226.09
23051,3223.49
20973,3216.12
22360,3210.52
21135,3207.69
22491,3193.83
23342,3193.41
21115,3174.84
23323,3155.18
22465,3153.09
22778,3146.82
72807C,3145.05
84968A,3139.3
21381,3138.0
21561,3127.38
23346,3117.34
21240,3112.81
20754,3090.96
23461,3082.71
20828,3079.88
22972,3072.59
22564,3063.52
23329,3056.34
84997b,3052.92
22810,3045.68
22604,3044.76
23390,3042.19
23242,3037.11
22892,3029.1
22894,3027.38
21810,3022.79
22592,3021.12
22945,3019.12
21714,3018.15
23231,3008.34
22644,3000.02
85184C,2997.64
16161P,2990.92
21201,2987.82
21411,2982.03
22331,2975.14
21625,2967.31
22906,2959.42
22777,2951.53
21918,2950.67
22078,2948.41
85174,2946.88
22990,2942.18
35004B,2934.81
23211,2933.07
84568,2923.13
23056,2916.87
22965,2914.81
22843,2911.27
21313,2906.52
22774,2901.75
23290,2899.1
23345,2891.25
21976,2886.95
21112,2885.13
21990,2880.45
23427,2873.08
23212,2865.89
22354,2860.98
22426,2858.96
23504,2857.64
22797,2851.36
22930,2849.35
23196,2848.04
22476,2844.16
22072,2831.17
22380,2823.86
85178,2823.83
47599B,2822.32
21499,2819.84
21563,2803.13
22762,2786.03
22794,2784.9
23396,2780.53
22963,2778.84
22224,2767.01
21109,2765.15
22925,2763.42
23190,2761.9
22196,2759.26
23266,2757.57
23147,2755.1
22773,2754.4
23341,2749.85
22823,2745.0
22974,2744.54
23100,2743.13
22283,2742.33
21985,2737.63
23407,2729.33
20829,2725.05
23333,2721.7
23164,2718.65
84832,2713.55
22278,2709.3
23489,2709.23
21239,2709.04
22927,2704.71
23292,2704.58
22737,2695.8
23264,2694.56
72802C,2692.44
21811,2687.4
22691,2686.72
22702,2684.65
22045,2683.84
22660,2678.96
21781,2676.75
22433,2667.5
22130,2664.63
22329,2663.54
84997d,2657.79
23146,2655.13
22902,2650.08
22582,2649.35
22792,2643.33
22241,2641.93
35961,2640.86
23054,2621.43
21012,2618.25
22830,2610.29
22700,2608.08
22833,2603.53
22175,2600.13
22361,2598.23
22805,2593.53
21500,2593.0
22822,2588.7
47559B,2588.65
22933,2585.92
22610,2578.24
21735,2577.45
84596B,2570.52
22937,2568.34
22358,2557.12
22064,2556.2
21452,2549.11
21078,2540.39
23424,2529.42
72351A,2528.15
23681,2526.69
21730,2519.38
22670,2518.0
21556,2515.52
23316,2511.59
22672,2511.22
22075,2503.34
21107,2501.56
23367,2495.75
21903,2494.33
22215,2471.39
23352,2462.95
85062,2449.3
22374,2440.27
84032B,2430.44
21875,2429.38
23406,2428.91
22807,2428.18
22573,2427.25
23265,2423.54
22743,2420.34
22811,2419.29
22437,2418.94
21328,2418.68
23400,2409.34
22939,2407.52
22167,2401.07
20978,2400.05
84796B,2393.59
84969,2389.52
11001,2389.44
23028,2387.03
22440,2385.12
23048,2384.97
20983,2382.46
22282,2378.52
23498,2378.48
22851,2375.44
84997c,2374.44
23437,2373.63
23436,2367.39
37500,2360.68
22070,2358.15
21495,2356.0
23401,2354.87
23412,2354.8
22548,2351.44
22425,2346.12
21700,2334.94
20977,2331.14
16156S,2331.0
23197,2323.8
22829,2315.33
22736,2315.25
22483,2314.74
23371,2313.53
84950,2304.83
21982,2304.14
23029,2303.92
22441,2301.31
23330,2299.47
23360,2296.15
85175,2292.34
22185,2291.44
23128,2283.41
21813,2280.47
21896,2279.09
23252,2276.61
22914,2266.16
22983,2261.6
46000S,2256.2
21069,2251.77
22030,2247.97
23093,2244.22
23079,2243.35
23326,2237.71
21989,2235.65
21471,2228.09
23438,2227.42
22601,2222.38
23501,2220.37
22478,2218.12
37448,2214.08
21794,2213.42
82494l,2211.6
23403,2207.86
10135,2207.39
21042,2205.47
22574,2202.14
21900,2201.07
23302,2194.62
23020,2191.84
22571,2191.43
22763,2186.27
23031,2182.0
85038,2179.66
23445,2177.84
22357,2175.04
21878,2173.05
22377,2171.53
22704,2168.76
22121,2165.65
21592,2164.46
22732,2162.75
21249,2160.0
22107,2158.06
23370,2157.85
22920,2155.94
82581,2155.89
22588,2149.31
23005,2147.55
22973,2145.91
23161,2145.3
23213,2139.67
23066,2137.81
40016,2136.34
22509,2132.44
22128,2127.53
37450,2126.39
22891,2125.18
84356,2124.15
22498,2121.99
21980,2121.76
22156,2114.83
21718,2114.64
23046,2111.49
20751,2108.72
23251,2107.0
23233,2105.5
21506,2101.01
22996,2099.97
23152,2095.65
22733,2095.08
22059,2094.24
23315,2094.24
22744,2091.54
21609,2089.64
22593,2087.34
22747,2087.15
22055,2086.49
22863,2076.63
22831,2070.9
22955,2070.15
23227,2070.06
22935,2066.82
23291,2060.28
23490,2055.27
22101,2053.17
47504K,2049.45
23500,2044.58
21864,2043.79
22414,2038.39
22803,2038.09
20674,2032.48
22080,2028.23
84880,2027.74
22788,2025.96
22602,2025.57
22115,2020.91
23268,2019.59
51014A,2018.78
22897,2016.0
22959,2014.42
23289,2013.7
22859,2012.97
21622,2012.34
23358,2012.13
23529,2011.99
22364,2010.17
22503,2010.12
23274,2009.95
85049G,2007.94
21591,2001.14
22932,2000.88
22186,1997.48
22928,1993.75
23357,1993.6
72802B,1993.48
22579,1988.89
37446,1986.24
23075,1981.05
22477,1980.4
15039,1979.49
23145,1979.48
23068,1976.89
21916,1973.91
22931,1968.4
20992,1965.81
23374,1962.83
22312,1962.29
84031A,1961.16
23228,1960.0
23235,1957.69
85123a,1952.48
84596F,1952.0
22291,1946.62
22824,1938.25
22412,1938.15
22639,1937.71
22199,1927.84
21192,1924.94
23094,1924.92
22183,1916.01
23155,1914.73
20963,1913.67
21534,1908.88
22594,1905.77
84968F,1905.68
23491,1897.76
85061W,1897.45
16169E,1892.46
23434,1892.07
21068,1890.33
23394,1888.9
35004C,1888.1
15058B,1885.27
20982,1884.92
22027,1883.79
23359,1872.31
22534,1871.12
22198,1870.91
23090,1870.86
23525,1867.57
22858,1865.73
70006,1865.63
21988,1862.75
21870,1861.46
22220,1859.2
22428,1854.76
72807A,1849.82
22944,1843.64
21557,1843.61
23378,1842.42
22712,1842.36
21034,1842.05
21873,1838.05
22651,1837.47
21713,1836.64
21564,1831.62
22452,1831.11
72807B,1830.71
15044D,1822.71
22223,1821.61
23148,1820.46
23160,1809.48
22200,1809.48
21114,1809.33
15060B,1807.55
22536,1805.21
85034C,1805.0
21832,1800.0
21245,1792.27
23317,1787.41
23057,1783.52
21055,1782.54
22832,1781.82
85035C,1779.41
22710,1774.42
22562,1773.37
21439,1767.15
22119,1766.57
21056,1765.4
22314,1762.07
21899,1761.22
23096,1759.79
22852,1757.88
21584,1754.9
23372,1752.79
23399,1752.35
21812,1751.22
20961,1749.18
23101,1744.61
20981,1742.27
23244,1733.98
23181,1733.57
21329,1728.64
23122,1727.75
47570B,1727.23
21586,1721.85
21845,1721.09
22526,1720.26
85015,1719.84
23073,1719.0
22544,1716.18
22037,1715.48
22986,1712.1
22227,1708.07
22934,1707.47
22816,1706.88
23214,1705.44
21917,1704.03
22674,1697.72
37340,1695.86
51008,1690.55
21544,1690.23
22789,1688.22
16161U,1687.5
21207,1686.5
23368,1681.5
22332,1679.65
22419,1676.88
22913,1673.15
22335,1672.79
23366,1670.55
22076,1669.53
15058A,1668.49
21577,1664.9
21578,1664.51
84968D,1661.47
23505,1660.04
23270,1659.37
22479,1658.57
22853,1655.96
21981,1655.36
21111,1652.27
23483,1651.36
47566b,1651.15
23273,1649.05
22161,1647.16
23348,1642.13
22284,1641.62
22375,1639.29
22154,1638.35
84510A,1636.57
22474,1636.27
35953,1634.92
85034B,1633.78
23391,1632.32
22799,1631.58
22445,1624.76
22975,1624.63
22473,1623.04
37495,1622.24
21706,1621.76
23280,1614.99
22166,1614.4
23217,1613.82
23287,1613.59
21206,1610.92
85040A,1610.62
22095,1610.41
22671,1610.35
22292,1608.86
23462,1607.04
22475,1605.67
22948,1604.99
22305,1604.58
21394,1603.77
18097C,1601.21
23226,1596.67
22398,1589.51
22449,1587.3
21626,1586.75
15056n,1585.28
21967,1583.41
46000M,1582.55
23369,1581.06
22676,1580.89
22434,1580.16
21528,1578.42
84279P,1576.96
22208,1576.47
22494,1573.52
22583,1572.95
21509,1572.28
85206A,1572.23
22085,1566.99
21913,1565.83
85132A,1565.67
22313,1564.83
21744,1563.55
84971S,1561.7
22818,1560.48
22675,1558.91
23524,1557.63
20665,1546.27
20985,1545.59
22982,1545.02
22600,1544.93
10133,1544.22
22318,1541.62
84828,1541.36
21898,1541.11
22176,1539.83
22472,1536.91
22731,1536.24
23267,1531.95
21200,1531.14
23250,1531.03
22828,1530.0
84968E,1522.53
85049C,1518.19
22530,1517.72
22770,1515.68
20668,1512.92
21352,1511.26
22591,1509.41
22471,1506.97
21361,1505.96
22905,1505.24
23528,1504.49
22985,1500.44
23271,1499.38
21792,1497.72
22285,1494.9
22802,1494.69
23334,1491.75
72349B,1490.89
37342,1489.01
23559,1488.65
84580,1486.18
23392,1485.43
35924,1484.3
21327,1484.13
21829,1483.42
22203,1483.13
21619,1481.4
21447,1478.1
21470,1477.82
22664,1472.85
23034,1466.07
23365,1464.38
22713,1462.56
21705,1462.17
84818,1461.6
23470,1460.5
21872,1459.98
15044A,1456.72
22696,1456.45
23086,1455.18
22461,1453.58
21620,1451.99
21191,1451.82
23249,1445.9
84031B,1440.37
85054,1436.53
22949,1434.95
23527,1432.31
22182,1430.48
15058C,1429.82
22306,1428.57
21507,1425.28
22922,1422.9
22458,1421.83
21407,1421.11
22976,1420.26
22714,1415.73
22576,1415.31
51014C,1415.09
21363,1413.84
22531,1413.25
82567,1412.27
22436,1412.16
84536A,1409.9
22915,1406.42
23104,1405.42
23119,1402.32
23055,1401.43
21424,1401.02
22443,1399.69
22047,1394.5
23040,1394.03
84813,1393.79
21537,1392.21
84795B,1390.64
23376,1389.59
21519,1389.22
21382,1389.08
22677,1389.07
22063,1388.1
22071,1388.05
22735,1387.46
22299,1386.97
21071,1385.28
22363,1383.75
21123,1383.34
22609,1381.78
21820,1379.72
23414,1378.75
23546,1375.5
23000,1369.12
85227,1368.75
22304,1368.18
22716,1365.95
23221,1363.87
85232B,1361.25
22911,1361.04
23469,1355.24
23061,1355.18
21039,1353.69
22754,1352.17
21686,1351.64
21615,1349.17
22421,1347.52
22399,1347.08
21987,1346.65
22917,1344.77
22073,1343.64
22912,1342.39
22293,1341.67
21624,1337.51
21246,1336.78
23538,1334.49
72802A,1334.16
22650,1333.75
22742,1333.21
22362,1329.44
85183B,1323.37
21818,1322.5
23405,1321.38
22916,1316.16
21179,1315.43
23373,1313.39
37447,1313.28
90057,1311.36
22028,1309.18
21195,1308.56
22686,1308.38
85199S,1305.25
21064,1301.55
21627,1299.83
22439,1297.12
21793,1296.61
22310,1296.23
21866,1296.13
21408,1295.21
21422,1295.0
22372,1289.49
21616,1288.34
84012,1283.99
21901,1280.49
22999,1280.31
22918,1278.6
21090,1278.23
47480,1277.47
23072,1273.76
85059,1273.11
21211,1271.52
21902,1270.82
21897,1268.19
47503A,1264.2
23511,1256.17
22572,1255.72
23071,1255.1
22977,1253.86
23067,1249.11
22597,1247.78
71038,1244.95
21262,1242.06
22074,1241.32
22442,1241.3
23138,1238.76
22603,1237.08
22338,1234.67
72817,1232.27
22129,1231.52
23539,1227.95
22919,1224.46
22613,1222.61
22575,1222.07
22315,1221.43
23142,1220.82
82578,1218.95
23598,1218.48
82599,1217.73
22711,1213.34
72800E,1213.29
22589,1212.82
22416,1210.82
21846,1206.97
22168,1205.3
84884A,1201.91
23026,1201.04
23444,1200.0
22929,1199.75
21986,1197.73
22081,1193.0
22453,1191.69
22755,1190.51
21070,1186.23
22921,1184.12
23041,1178.48
23225,1177.0
21628,1176.6
23431,1175.38
85039B,1174.63
20984,1173.9
23523,1173.81
21742,1173.53
21065,1172.48
22924,1169.9
22757,1168.99
23418,1168.08
84313C,1165.91
23508,1165.13
23515,1164.98
23269,1163.13
22334,1160.71
22680,1160.29
22708,1160.0
23566,1159.43
20801,1157.8
23507,1156.51
85132B,1156.17
21773,1154.17
22678,1152.81
21774,1152.4
22325,1151.3
23402,1151.03
20956,1149.02
85106,1147.41
22320,1147.27
22497,1145.15
21043,1143.76
21693,1143.31
21947,1142.15
22376,1141.7
21395,1141.4
22923,1140.97
23506,1139.2
22581,1138.98
22094,1138.2
84912B,1136.6
22446,1135.18
85159B,1134.5
22155,1134.45
22153,1134.25
22539,1130.58
85087,1129.99
47585A,1129.44
21830,1127.23
22211,1124.04
22815,1123.88
84944,1121.91
47580,1121.82
22608,1121.48
21809,1119.56
23510,1119.22
22060,1118.95
23411,1118.61
21984,1116.95
21466,1116.89
22997,1115.93
22817,1114.81
23513,1114.26
22758,1112.75
22342,1111.58
23375,1108.89
23433,1108.58
22444,1107.87
85116,1106.88
85127,1106.54
22984,1106.17
85114A,1105.21
85036C,1104.86
22819,1104.81
22221,1104.54
21824,1102.81
21688,1101.28
22309,1093.6
23087,1090.66
23432,1090.02
22785,1087.57
15056bl,1086.88
23102,1086.65
21469,1085.32
21991,1080.82
21224,1080.0
84459B,1079.67
51014L,1079.34
23347,1077.3
22611,1077.03
22245,1070.85
21288,1070.26
22123,1069.17
35648,1068.32
21819,1067.82
23033,1067.6
22286,1065.39
21391,1064.44
23516,1062.35
23331,1062.28
22995,1062.0
20931,1060.9
84459A,1059.67
22438,1058.69
85035B,1058.35
22190,1057.71
21464,1055.25
21949,1054.44
22152,1053.5
16016,1053.45
23327,1051.14
22066,1051.05
16237,1048.56
21508,1046.98
23419,1045.8
22163,1042.78
85180A,1042.66
22808,1038.87
79302M,1037.54
21821,1037.05
22402,1035.58
22024,1033.81
23088,1033.28
22091,1033.22
21788,1032.64
22860,1032.62
20967,1031.69
21803,1031.56
22231,1029.76
21679,1028.58
15044C,1025.94
23545,1025.6
22614,1024.9
22679,1024.28
20966,1022.8
21188,1021.9
23452,1021.76
23153,1020.69
22673,1019.83
22459,1018.19
23544,1015.78
85039A,1013.92
21617,1013.01
21354,1010.21
23107,1009.51
21198,1008.47
22279,1007.15
23460,1007.08
72816,1006.27
21467,1004.39
22098,1003.19
23121,1002.54
22695,1001.49
23281,1000.82
21355,998.83
23533,998.64
85232D,997.47
22069,996.8
23517,996.38
84558A,996.26
10125,994.84
22242,994.38
21648,992.79
20886,988.18
35651,985.84
35471D,984.57
20802,984.47
23380,983.5
23518,983.3
22500,980.7
21948,979.48
22857,977.76
23514,977.39
23512,977.32
85064,976.25
22681,973.15
84843,969.8
22307,969.64
22209,968.37
21058,968.21
22599,967.76
23183,967.17
21389,966.78
47504H,964.38
70007,962.96
22246,962.77
22540,960.86
22210,959.7
20846,958.57
22994,958.2
20733,958.06
22262,953.86
84913A,952.83
84819,951.79
84509G,950.49
84596G,949.92
21683,948.7
23540,947.06
21717,946.93
15044B,946.83
47593B,946.13
22270,945.95
23178,943.92
22132,939.03
35646,937.25
22281,935.39
20752,935.15
20686,932.42
21462,932.4
22893,931.02
21682,930.96
23179,930.48
23413,929.11
22046,929.0
22103,928.04
85185B,926.94
23099,925.35
23002,925.29
85103,924.29
22701,922.89
17091J,920.67
21802,920.4
85114C,920.22
72799E,919.94
21786,918.25
23338,915.4
85034A,915.15
82001s,910.12
23472,909.37
21894,908.33
23004,906.94
37501,906.83
22519,906.75
84519A,905.55
85114B,904.14
23532,901.58
85131A,901.48
22118,901.46
22106,898.38
21465,897.8
22277,897.74
22682,896.75
23502,896.41
21631,896.01
22936,895.97
22719,895.72
21633,895.46
22761,895.38
22814,893.51
22251,891.99
21743,890.6
84823,890.4
21189,888.67
21199,888.33
84536B,888.14
